sensitivity,specificity,prevalence,tolerance_frac_prev,z,tolerance,min_n
0.8,0.9,0.06,0.3,1.96,0.018,2948.13037037037
0.85,0.9,0.06,0.3,1.96,0.018,2613.23654320988
0.9,0.9,0.06,0.3,1.96,0.018,2336.08407407407
0.95,0.9,0.06,0.3,1.96,0.018,2103.84586441112
1,0.9,0.06,0.3,1.96,0.018,1907.09882030178
0.8,0.95,0.06,0.3,1.96,0.018,1812.24449931413
0.85,0.95,0.06,0.3,1.96,0.018,1637.6450308642
0.9,0.95,0.06,0.3,1.96,0.018,1490.08261096159
0.95,0.95,0.06,0.3,1.96,0.018,1364.02855662246
1,0.95,0.06,0.3,1.96,0.018,1255.32205328135
0.8,1,0.06,0.3,1.96,0.018,846.574814814814
0.85,1,0.06,0.3,1.96,0.018,794.265446623093
0.9,1,0.06,0.3,1.96,0.018,747.768230452675
0.95,1,0.06,0.3,1.96,0.018,706.165458089668
1,1,0.06,0.3,1.96,0.018,668.722962962963
0.8,0.8,0.065,0.3,1.96,0.0195,5104.14468843597
0.85,0.8,0.065,0.3,1.96,0.0195,4389.40786480398
0.9,0.8,0.065,0.3,1.96,0.0195,3819.06966469428
0.95,0.8,0.065,0.3,1.96,0.0195,3356.35560230842
1,0.8,0.065,0.3,1.96,0.0195,2975.53514792899
0.8,0.85,0.065,0.3,1.96,0.0195,3713.29559049052
0.85,0.85,0.065,0.3,1.96,0.0195,3242.79616042077
0.9,0.85,0.065,0.3,1.96,0.0195,2860.19453868069
0.95,0.85,0.065,0.3,1.96,0.0195,2544.58642998027
1,0.85,0.065,0.3,1.96,0.0195,2280.96578566732
0.8,0.9,0.065,0.3,1.96,0.0195,2563.43258382643
0.85,0.9,0.065,0.3,1.96,0.0195,2274.23056760903
0.9,0.9,0.065,0.3,1.96,0.0195,2034.70937541091
0.95,0.9,0.065,0.3,1.96,0.0195,1833.8545107594
1,0.9,0.065,0.3,1.96,0.0195,1663.57079699028
0.8,0.95,0.065,0.3,1.96,0.0195,1598.46368909343
0.85,0.95,0.065,0.3,1.96,0.0195,1445.90398422091
0.9,0.95,0.065,0.3,1.96,0.0195,1316.82747746088
0.95,0.95,0.065,0.3,1.96,0.0195,1206.4490528486
1,0.95,0.065,0.3,1.96,0.0195,1111.16475448977
0.8,1,0.065,0.3,1.96,0.0195,778.170256410256
0.85,1,0.065,0.3,1.96,0.0195,729.884685771744
0.9,1,0.065,0.3,1.96,0.0195,686.964178537512
0.95,1,0.065,0.3,1.96,0.0195,648.561619433198
1,1,0.065,0.3,1.96,0.0195,613.999316239316
0.8,0.8,0.07,0.3,1.96,0.021,4438.69827160493
0.85,0.8,0.07,0.3,1.96,0.021,3819.06966469428
0.9,0.8,0.07,0.3,1.96,0.021,3324.42666666666
0.95,0.8,0.07,0.3,1.96,0.021,2922.9649382716
1,0.8,0.07,0.3,1.96,0.021,2592.42666666666
0.8,0.85,0.07,0.3,1.96,0.021,3242.79616042077
0.85,0.85,0.07,0.3,1.96,0.021,2833.76
0.9,0.85,0.07,0.3,1.96,0.021,2500.96
0.95,0.85,0.07,0.3,1.96,0.021,2226.28777777777
1,0.85,0.07,0.3,1.96,0.021,1996.74039215686
0.8,0.9,0.07,0.3,1.96,0.021,2254.20444444444
0.85,0.9,0.07,0.3,1.96,0.021,2001.52296296296
0.9,0.9,0.07,0.3,1.96,0.021,1792.09333333333
0.95,0.9,0.07,0.3,1.96,0.021,1616.34515955402
1,0.9,0.07,0.3,1.96,0.021,1467.24148148148
0.8,0.95,0.07,0.3,1.96,0.021,1424.65382716049
0.85,0.95,0.07,0.3,1.96,0.021,1289.84333333333
0.9,0.95,0.07,0.3,1.96,0.021,1175.66542099192
0.95,0.95,0.07,0.3,1.96,0.021,1077.93009602195
1,0.95,0.07,0.3,1.96,0.021,993.479298245613
0.8,1,0.07,0.3,1.96,0.021,719.537777777777
0.85,1,0.07,0.3,1.96,0.021,674.701176470588
0.9,1,0.07,0.3,1.96,0.021,634.846419753086
0.95,1,0.07,0.3,1.96,0.021,599.186900584795
1,1,0.07,0.3,1.96,0.021,567.093333333333
0.8,0.8,0.075,0.3,1.96,0.0225,3899.03956104252
0.85,0.8,0.075,0.3,1.96,0.0225,3356.35560230842
0.9,0.8,0.075,0.3,1.96,0.0225,2922.9649382716
0.95,0.8,0.075,0.3,1.96,0.0225,2571.07906721536
1,0.8,0.075,0.3,1.96,0.0225,2281.24641975309
0.8,0.85,0.075,0.3,1.96,0.0225,2860.19453868069
0.85,0.85,0.075,0.3,1.96,0.0225,2500.96
0.9,0.85,0.075,0.3,1.96,0.0225,2208.52477366255
0.95,0.85,0.075,0.3,1.96,0.0225,1967.04148148148
1,0.85,0.075,0.3,1.96,0.0225,1765.12732026144
0.8,0.9,0.075,0.3,1.96,0.0225,2001.52296296296
0.85,0.9,0.075,0.3,1.96,0.0225,1778.51851851852
0.9,0.9,0.075,0.3,1.96,0.0225,1593.55259259259
0.95,0.9,0.075,0.3,1.96,0.0225,1438.22453927976
1,0.9,0.075,0.3,1.96,0.0225,1306.35478737997
0.8,0.95,0.075,0.3,1.96,0.0225,1281.06030178326
0.85,0.95,0.075,0.3,1.96,0.0225,1160.77975308642
0.9,0.95,0.075,0.3,1.96,0.0225,1058.80725532915
0.95,0.95,0.075,0.3,1.96,0.0225,971.437061423563
1,0.95,0.075,0.3,1.96,0.0225,895.874100064976
0.8,1,0.075,0.3,1.96,0.0225,668.722962962963
0.85,1,0.075,0.3,1.96,0.0225,626.875468409586
0.9,1,0.075,0.3,1.96,0.0225,589.677695473251
0.95,1,0.075,0.3,1.96,0.0225,556.395477582846
1,1,0.075,0.3,1.96,0.0225,526.441481481481
0.8,0.8,0.08,0.3,1.96,0.024,3455.06864197531
0.85,0.8,0.08,0.3,1.96,0.024,2975.53514792899
0.9,0.8,0.08,0.3,1.96,0.024,2592.42666666666
0.95,0.8,0.08,0.3,1.96,0.024,2281.24641975309
1,0.8,0.08,0.3,1.96,0.024,2024.84333333333
0.8,0.85,0.08,0.3,1.96,0.024,2544.58642998027
0.85,0.85,0.08,0.3,1.96,0.024,2226.28777777778
0.9,0.85,0.08,0.3,1.96,0.024,1967.04148148148
0.95,0.85,0.08,0.3,1.96,0.024,1752.85505208333
1,0.85,0.08,0.3,1.96,0.024,1573.67503267974
0.8,0.9,0.08,0.3,1.96,0.024,1792.09333333333
0.85,0.9,0.08,0.3,1.96,0.024,1593.55259259259
0.9,0.9,0.08,0.3,1.96,0.024,1428.76173611111
0.95,0.9,0.08,0.3,1.96,0.024,1290.28133794694
1,0.9,0.08,0.3,1.96,0.024,1172.63654320988
0.8,0.95,0.08,0.3,1.96,0.024,1160.77975308642
0.85,0.95,0.08,0.3,1.96,0.024,1052.56338541667
0.9,0.95,0.08,0.3,1.96,0.024,960.732318339099
0.95,0.95,0.08,0.3,1.96,0.024,881.980507544581
1,0.95,0.08,0.3,1.96,0.024,813.812631578946
0.8,1,0.08,0.3,1.96,0.024,624.26
0.85,1,0.08,0.3,1.96,0.024,585.027973856209
0.9,1,0.08,0.3,1.96,0.024,550.155061728395
0.95,1,0.08,0.3,1.96,0.024,518.95298245614
1,1,0.08,0.3,1.96,0.024,490.871111111111
0.8,0.8,0.085,0.3,1.96,0.0255,3085.21063864325
0.85,0.8,0.085,0.3,1.96,0.0255,2658.16130218464
0.9,0.8,0.085,0.3,1.96,0.0255,2316.85111880046
0.95,0.8,0.085,0.3,1.96,0.0255,2039.51559827417
1,0.8,0.085,0.3,1.96,0.0255,1810.91340253748
0.8,0.85,0.085,0.3,1.96,0.0255,2280.96578566732
0.85,0.85,0.085,0.3,1.96,0.0255,1996.74039215686
0.9,0.85,0.085,0.3,1.96,0.0255,1765.12732026144
0.95,0.85,0.085,0.3,1.96,0.0255,1573.67503267974
1,0.85,0.085,0.3,1.96,0.0255,1413.43460479001
0.8,0.9,0.085,0.3,1.96,0.0255,1616.34515955402
0.85,0.9,0.085,0.3,1.96,0.0255,1438.22453927976
0.9,0.9,0.085,0.3,1.96,0.0255,1290.28133794694
0.95,0.9,0.085,0.3,1.96,0.0255,1165.87596817301
1,0.9,0.085,0.3,1.96,0.0255,1060.12011790337
0.8,0.95,0.085,0.3,1.96,0.0255,1058.80725532915
0.85,0.95,0.085,0.3,1.96,0.0255,960.732318339099
0.9,0.95,0.085,0.3,1.96,0.0255,877.43233789506
0.95,0.95,0.085,0.3,1.96,0.0255,805.935336171747
1,0.95,0.085,0.3,1.96,0.0255,743.996629636374
0.8,1,0.085,0.3,1.96,0.0255,585.027973856209
0.85,1,0.085,0.3,1.96,0.0255,548.10371395617
0.9,1,0.085,0.3,1.96,0.0255,515.282149600581
0.95,1,0.085,0.3,1.96,0.0255,485.915486756106
1,1,0.085,0.3,1.96,0.0255,459.485490196078
0.8,0.8,0.09,0.3,1.96,0.027,2773.66916018899
0.85,0.8,0.09,0.3,1.96,0.027,2390.72489476546
0.9,0.8,0.09,0.3,1.96,0.027,2084.54737997256
0.95,0.8,0.09,0.3,1.96,0.027,1835.66531931108
1,0.8,0.09,0.3,1.96,0.027,1630.44038408779
0.8,0.85,0.09,0.3,1.96,0.027,2058.32941096257
0.85,0.85,0.09,0.3,1.96,0.027,1802.78057613169
0.9,0.85,0.09,0.3,1.96,0.027,1594.43087334248
0.95,0.85,0.09,0.3,1.96,0.027,1422.12316872428
1,0.85,0.09,0.3,1.96,0.027,1277.83649479545
0.8,0.9,0.09,0.3,1.96,0.027,1467.24148148148
0.85,0.9,0.09,0.3,1.96,0.027,1306.35478737997
0.9,0.9,0.09,0.3,1.96,0.027,1172.63654320988
0.95,0.9,0.09,0.3,1.96,0.027,1060.12011790337
1,0.9,0.09,0.3,1.96,0.027,964.410815424478
0.8,0.95,0.09,0.3,1.96,0.027,971.437061423563
0.85,0.95,0.09,0.3,1.96,0.027,881.98050754458
0.9,0.95,0.09,0.3,1.96,0.027,805.935336171747
0.95,0.95,0.09,0.3,1.96,0.027,740.611868786939
1,0.95,0.09,0.3,1.96,0.027,683.977312829398
0.8,1,0.09,0.3,1.96,0.027,550.155061728395
0.85,1,0.09,0.3,1.96,0.027,515.282149600581
0.9,1,0.09,0.3,1.96,0.027,484.284005486969
0.95,1,0.09,0.3,1.96,0.027,456.548823911631
1,1,0.09,0.3,1.96,0.027,431.587160493827
0.8,0.8,0.095,0.3,1.96,0.0285,2508.66031120687
0.85,0.8,0.095,0.3,1.96,0.0285,2163.1461124315
0.9,0.8,0.095,0.3,1.96,0.0285,1886.79047091413
0.95,0.8,0.095,0.3,1.96,0.0285,1662.06578981567
1,0.8,0.095,0.3,1.96,0.0285,1476.69259464451
0.8,0.85,0.095,0.3,1.96,0.0285,1868.45700098892
0.85,0.85,0.095,0.3,1.96,0.0285,1637.28108341028
0.9,0.85,0.095,0.3,1.96,0.0285,1448.70925618139
0.95,0.85,0.095,0.3,1.96,0.0285,1292.68243767313
1,0.85,0.095,0.3,1.96,0.0285,1161.9669777126
0.8,0.9,0.095,0.3,1.96,0.0285,1339.51069252077
0.85,0.9,0.095,0.3,1.96,0.0285,1193.31202626449
0.9,0.9,0.095,0.3,1.96,0.0285,1071.72244998461
0.95,0.9,0.095,0.3,1.96,0.0285,969.347126621872
1,0.9,0.095,0.3,1.96,0.0285,882.210873773127
0.8,0.95,0.095,0.3,1.96,0.0285,895.874100064977
0.85,0.95,0.095,0.3,1.96,0.0285,813.812631578946
0.9,0.95,0.095,0.3,1.96,0.0285,743.996629636374
0.95,0.95,0.095,0.3,1.96,0.0285,683.977312829398
1,0.95,0.095,0.3,1.96,0.0285,631.902780774651
0.8,1,0.095,0.3,1.96,0.0285,518.95298245614
0.85,1,0.095,0.3,1.96,0.0285,485.915486756106
0.9,1,0.095,0.3,1.96,0.0285,456.548823911631
0.95,1,0.095,0.3,1.96,0.0285,430.273388734995
1,1,0.095,0.3,1.96,0.0285,406.625497076023
0.8,0.8,0.1,0.3,1.96,0.03,2281.24641975308
0.85,0.8,0.1,0.3,1.96,0.03,1967.77814595661
0.9,0.8,0.1,0.3,1.96,0.03,1716.96
0.95,0.8,0.1,0.3,1.96,0.03,1512.92641975309
1,0.8,0.1,0.3,1.96,0.03,1344.56
0.8,0.85,0.1,0.3,1.96,0.03,1705.1046416831
0.85,0.85,0.1,0.3,1.96,0.03,1494.82666666666
0.9,0.85,0.1,0.3,1.96,0.03,1323.21777777778
0.95,0.85,0.1,0.3,1.96,0.03,1181.15861111111
1,0.85,0.1,0.3,1.96,0.03,1062.0894117647
0.8,0.9,0.1,0.3,1.96,0.03,1229.13777777778
0.85,0.9,0.1,0.3,1.96,0.03,1095.56740740741
0.9,0.9,0.1,0.3,1.96,0.03,984.409999999999
0.95,0.9,0.1,0.3,1.96,0.03,890.760845828527
1,0.9,0.1,0.3,1.96,0.03,811.004444444444
0.8,0.95,0.1,0.3,1.96,0.03,829.975308641974
0.85,0.95,0.1,0.3,1.96,0.03,754.314166666665
0.9,0.95,0.1,0.3,1.96,0.03,689.892871972318
0.95,0.95,0.1,0.3,1.96,0.03,634.47001371742
1,0.95,0.1,0.3,1.96,0.03,586.34947368421
0.8,1,0.1,0.3,1.96,0.03,490.871111111111
0.85,1,0.1,0.3,1.96,0.03,459.485490196078
0.9,1,0.1,0.3,1.96,0.03,431.587160493827
0.95,1,0.1,0.3,1.96,0.03,406.625497076023
1,1,0.1,0.3,1.96,0.03,384.16
0.8,0.8,0.105,0.3,1.96,0.0315,2084.54737997256
0.85,0.8,0.105,0.3,1.96,0.0315,1798.73333625539
0.9,0.8,0.105,0.3,1.96,0.0315,1569.9575308642
0.95,0.8,0.105,0.3,1.96,0.0315,1383.7868861454
1,0.8,0.105,0.3,1.96,0.0315,1230.10567901235
0.8,0.85,0.105,0.3,1.96,0.0315,1563.45888231427
0.85,0.85,0.105,0.3,1.96,0.0315,1371.24148148148
0.9,0.85,0.105,0.3,1.96,0.0315,1214.2966255144
0.95,0.85,0.105,0.3,1.96,0.0315,1084.31555555555
1,0.85,0.105,0.3,1.96,0.0315,975.31991285403
0.8,0.9,0.105,0.3,1.96,0.0315,1133.01925925926
0.85,0.9,0.105,0.3,1.96,0.0315,1010.39209876543
0.9,0.9,0.105,0.3,1.96,0.0315,908.278518518518
0.95,0.9,0.105,0.3,1.96,0.0315,822.197267717544
1,0.9,0.105,0.3,1.96,0.0315,748.843676268861
0.8,0.95,0.105,0.3,1.96,0.0315,772.073305898491
0.85,0.95,0.105,0.3,1.96,0.0315,701.994567901234
0.9,0.95,0.105,0.3,1.96,0.0315,642.281508821393
0.95,0.95,0.105,0.3,1.96,0.0315,590.872635269013
1,0.95,0.105,0.3,1.96,0.0315,546.207043534762
0.8,1,0.105,0.3,1.96,0.0315,465.463703703704
0.85,1,0.105,0.3,1.96,0.0315,435.572636165577
0.9,1,0.105,0.3,1.96,0.0315,409.002798353909
0.95,1,0.105,0.3,1.96,0.0315,385.229785575049
1,1,0.105,0.3,1.96,0.0315,363.834074074074
0.8,0.8,0.11,0.3,1.96,0.033,1913.19597592082
0.85,0.8,0.11,0.3,1.96,0.033,1651.4177175738
0.9,0.8,0.11,0.3,1.96,0.033,1441.80407713498
0.95,0.8,0.11,0.3,1.96,0.033,1271.16548923579
1,0.8,0.11,0.3,1.96,0.033,1130.25586776859
0.8,0.85,0.11,0.3,1.96,0.033,1439.75931536994
0.85,0.85,0.11,0.3,1.96,0.033,1263.26229568411
0.9,0.85,0.11,0.3,1.96,0.033,1119.08500765228
0.95,0.85,0.11,0.3,1.96,0.033,999.622947658401
1,0.85,0.11,0.3,1.96,0.033,899.402953600172
0.8,0.9,0.11,0.3,1.96,0.033,1048.72418732782
0.85,0.9,0.11,0.3,1.96,0.033,935.647725742271
0.9,0.9,0.11,0.3,1.96,0.033,841.430339761248
0.95,0.9,0.11,0.3,1.96,0.033,761.959262203666
1,0.9,0.11,0.3,1.96,0.033,694.200363228242
0.8,0.95,0.11,0.3,1.96,0.033,720.853643505764
0.85,0.95,0.11,0.3,1.96,0.033,655.678044077134
0.9,0.95,0.11,0.3,1.96,0.033,600.102836988952
0.95,0.95,0.11,0.3,1.96,0.033,552.223739527712
1,0.95,0.11,0.3,1.96,0.033,510.59804552704
0.8,1,0.11,0.3,1.96,0.033,442.36606060606
0.85,1,0.11,0.3,1.96,0.033,413.833677956031
0.9,1,0.11,0.3,1.96,0.033,388.471560044893
0.95,1,0.11,0.3,1.96,0.033,365.779138755981
1,1,0.11,0.3,1.96,0.033,345.355959595959
0.8,0.8,0.115,0.3,1.96,0.0345,1762.95452029219
0.85,0.8,0.115,0.3,1.96,0.0345,1522.20336565959
0.9,0.8,0.115,0.3,1.96,0.0345,1329.35672337744
0.95,0.8,0.115,0.3,1.96,0.0345,1172.3115461271
1,0.8,0.115,0.3,1.96,0.0345,1042.58167611846
0.8,0.85,0.115,0.3,1.96,0.0345,1331.03266784239
0.85,0.85,0.115,0.3,1.96,0.0345,1168.30820415879
0.9,0.85,0.115,0.3,1.96,0.0345,1035.31967233774
0.95,0.85,0.115,0.3,1.96,0.0345,925.078420499893
1,0.85,0.115,0.3,1.96,0.0345,832.553135401608
0.8,0.9,0.115,0.3,1.96,0.0345,974.325427431211
0.85,0.9,0.115,0.3,1.96,0.0345,869.63840089617
0.9,0.9,0.115,0.3,1.96,0.0345,782.359873976055
0.95,0.9,0.115,0.3,1.96,0.0345,708.699814481706
1,0.9,0.115,0.3,1.96,0.0345,645.861099208849
0.8,0.95,0.115,0.3,1.96,0.0345,675.267731802375
0.85,0.95,0.115,0.3,1.96,0.0345,614.426036546943
0.9,0.95,0.115,0.3,1.96,0.0345,562.510457327376
0.95,0.95,0.115,0.3,1.96,0.0345,517.754969414559
1,0.95,0.115,0.3,1.96,0.0345,478.820856299538
0.8,1,0.115,0.3,1.96,0.0345,421.27690821256
0.85,1,0.115,0.3,1.96,0.0345,393.985063938619
0.9,1,0.115,0.3,1.96,0.0345,369.725646806226
0.95,1,0.115,0.3,1.96,0.0345,348.019852529875
1,1,0.115,0.3,1.96,0.0345,328.484637681159
0.8,0.8,0.12,0.3,1.96,0.036,1630.44038408779
0.85,0.8,0.12,0.3,1.96,0.036,1408.1937789466
0.9,0.8,0.12,0.3,1.96,0.036,1230.10567901234
0.95,0.8,0.12,0.3,1.96,0.036,1085.02803840878
1,0.8,0.12,0.3,1.96,0.036,965.142716049382
0.8,0.85,0.12,0.3,1.96,0.036,1234.90223098838
0.85,0.85,0.12,0.3,1.96,0.036,1084.31555555555
0.9,0.85,0.12,0.3,1.96,0.036,961.190452674897
0.95,0.85,0.12,0.3,1.96,0.036,859.080023148147
1,0.85,0.12,0.3,1.96,0.036,773.341699346405
0.8,0.9,0.12,0.3,1.96,0.036,908.278518518518
0.85,0.9,0.12,0.3,1.96,0.036,811.004444444444
0.9,0.9,0.12,0.3,1.96,0.036,729.859537037037
0.95,0.9,0.12,0.3,1.96,0.036,661.338110982955
1,0.9,0.12,0.3,1.96,0.036,602.851906721536
0.8,0.95,0.12,0.3,1.96,0.036,634.470013717421
0.85,0.95,0.12,0.3,1.96,0.036,577.481257716049
0.9,0.95,0.12,0.3,1.96,0.036,528.821044897261
0.95,0.95,0.12,0.3,1.96,0.036,486.845657674135
1,0.95,0.12,0.3,1.96,0.036,450.30840805718
0.8,1,0.12,0.3,1.96,0.036,401.945185185185
0.85,1,0.12,0.3,1.96,0.036,375.790501089324
0.9,1,0.12,0.3,1.96,0.036,352.541893004115
0.95,1,0.12,0.3,1.96,0.036,331.740506822612
1,1,0.12,0.3,1.96,0.036,313.019259259259
0.8,0.8,0.125,0.3,1.96,0.0375,1512.92641975309
0.85,0.8,0.125,0.3,1.96,0.0375,1307.05325443787
0.9,0.8,0.125,0.3,1.96,0.0375,1142.02666666667
0.95,0.8,0.125,0.3,1.96,0.0375,1007.54259753086
1,0.8,0.125,0.3,1.96,0.0375,896.373333333333
0.8,0.85,0.125,0.3,1.96,0.0375,1149.44915187377
0.85,0.85,0.125,0.3,1.96,0.0375,1009.61777777778
0.9,0.85,0.125,0.3,1.96,0.0375,895.235081481481
0.95,0.85,0.125,0.3,1.96,0.0375,800.333333333332
1,0.85,0.125,0.3,1.96,0.0375,720.61385620915
0.8,0.9,0.125,0.3,1.96,0.0375,849.333333333333
0.85,0.9,0.125,0.3,1.96,0.0375,758.644859259259
0.9,0.9,0.125,0.3,1.96,0.0375,682.951111111111
0.95,0.9,0.125,0.3,1.96,0.0375,618.998292964244
1,0.9,0.125,0.3,1.96,0.0375,564.383209876543
0.8,0.95,0.125,0.3,1.96,0.0375,597.771930864197
0.85,0.95,0.125,0.3,1.96,0.0375,544.226666666666
0.9,0.95,0.125,0.3,1.96,0.0375,498.477508650519
0.95,0.95,0.125,0.3,1.96,0.0375,458.98951989026
1,0.95,0.125,0.3,1.96,0.0375,424.597894736842
0.8,1,0.125,0.3,1.96,0.0375,384.16
0.85,1,0.125,0.3,1.96,0.0375,359.051503267974
0.9,1,0.125,0.3,1.96,0.0375,336.732839506173
0.95,1,0.125,0.3,1.96,0.0375,316.76350877193
1,1,0.125,0.3,1.96,0.0375,298.791111111111
0.8,0.8,0.13,0.3,1.96,0.039,1408.1937789466
0.85,0.8,0.13,0.3,1.96,0.039,1216.8810391793
0.9,0.8,0.13,0.3,1.96,0.039,1063.47203155818
0.95,0.8,0.13,0.3,1.96,0.039,938.412319380524
1,0.8,0.13,0.3,1.96,0.039,834.99865877712
0.8,0.85,0.13,0.3,1.96,0.039,1073.11003831954
0.85,0.85,0.13,0.3,1.96,0.039,942.8566469428
0.9,0.85,0.13,0.3,1.96,0.039,836.26151216305
0.95,0.85,0.13,0.3,1.96,0.039,747.782846811308
1,0.85,0.13,0.3,1.96,0.039,673.42771087133
0.8,0.9,0.13,0.3,1.96,0.039,796.468744247205
0.85,0.9,0.13,0.3,1.96,0.039,711.659978084593
0.9,0.9,0.13,0.3,1.96,0.039,640.834950690335
0.95,0.9,0.13,0.3,1.96,0.039,580.964120399755
1,0.9,0.13,0.3,1.96,0.039,529.809090510629
0.8,0.95,0.13,0.3,1.96,0.039,564.607717145153
0.85,0.95,0.13,0.3,1.96,0.039,514.154970414201
0.9,0.95,0.13,0.3,1.96,0.039,471.021590330528
0.95,0.95,0.13,0.3,1.96,0.039,433.769870049756
1,0.95,0.13,0.3,1.96,0.039,401.30821966158
0.8,1,0.13,0.3,1.96,0.039,367.742905982906
0.85,1,0.13,0.3,1.96,0.039,343.60012066365
0.9,1,0.13,0.3,1.96,0.039,322.139867046534
0.95,1,0.13,0.3,1.96,0.039,302.938587494377
1,1,0.13,0.3,1.96,0.039,285.657435897436
0.8,0.8,0.135,0.3,1.96,0.0405,1314.42195871225
0.85,0.8,0.135,0.3,1.96,0.0405,1136.11730049089
0.9,0.8,0.135,0.3,1.96,0.0405,993.089370522785
0.95,0.8,0.135,0.3,1.96,0.0405,876.452624769259
1,0.8,0.135,0.3,1.96,0.0405,779.971857948483
0.8,0.85,0.135,0.3,1.96,0.0405,1004.60038820031
0.85,0.85,0.135,0.3,1.96,0.0405,882.915921353451
0.9,0.85,0.135,0.3,1.96,0.0405,783.289807448051
0.95,0.85,0.135,0.3,1.96,0.0405,700.560640146318
1,0.85,0.135,0.3,1.96,0.0405,631.008554291401
0.8,0.9,0.135,0.3,1.96,0.0405,748.843676268861
0.85,0.9,0.135,0.3,1.96,0.0405,669.308483462886
0.9,0.9,0.135,0.3,1.96,0.0405,602.851906721536
0.95,0.9,0.135,0.3,1.96,0.0405,546.644977762589
1,0.9,0.135,0.3,1.96,0.0405,498.596728818439
0.8,0.95,0.135,0.3,1.96,0.0405,534.508652813764
0.85,0.95,0.135,0.3,1.96,0.0405,486.845657674134
0.9,0.95,0.135,0.3,1.96,0.0405,446.07322130509
0.95,0.95,0.135,0.3,1.96,0.0405,410.840940311342
1,0.95,0.135,0.3,1.96,0.0405,380.122990237367
0.8,1,0.135,0.3,1.96,0.0405,352.541893004115
0.85,1,0.135,0.3,1.96,0.0405,329.293284918906
0.9,1,0.135,0.3,1.96,0.0405,308.627855509831
0.95,1,0.135,0.3,1.96,0.0405,290.137734459606
1,1,0.135,0.3,1.96,0.0405,273.496625514403
0.8,0.8,0.14,0.3,1.96,0.042,1230.10567901234
0.85,0.8,0.14,0.3,1.96,0.042,1063.47203155818
0.9,0.8,0.14,0.3,1.96,0.042,929.759999999999
0.95,0.8,0.14,0.3,1.96,0.042,820.683456790123
1,0.8,0.14,0.3,1.96,0.042,730.426666666666
0.8,0.85,0.14,0.3,1.96,0.042,942.8566469428
0.85,0.85,0.14,0.3,1.96,0.042,828.87111111111
0.9,0.85,0.14,0.3,1.96,0.042,735.508148148148
0.95,0.85,0.14,0.3,1.96,0.042,657.947499999999
1,0.85,0.14,0.3,1.96,0.042,592.714248366012
0.8,0.9,0.14,0.3,1.96,0.042,705.759999999999
0.85,0.9,0.14,0.3,1.96,0.042,630.974814814815
0.9,0.9,0.14,0.3,1.96,0.042,568.454444444444
0.95,0.9,0.14,0.3,1.96,0.042,515.550080738177
1,0.9,0.14,0.3,1.96,0.042,470.303209876543
0.8,0.95,0.14,0.3,1.96,0.042,507.083456790123
0.85,0.95,0.14,0.3,1.96,0.042,461.947499999999
0.9,0.95,0.14,0.3,1.96,0.042,423.31478662053
0.95,0.95,0.14,0.3,1.96,0.042,389.913635116598
1,0.95,0.14,0.3,1.96,0.042,360.777543859649
0.8,1,0.14,0.3,1.96,0.042,338.426666666667
0.85,1,0.14,0.3,1.96,0.042,316.008366013072
0.9,1,0.14,0.3,1.96,0.042,296.080987654321
0.95,1,0.14,0.3,1.96,0.042,278.251228070175
1,1,0.14,0.3,1.96,0.042,262.204444444444
0.8,0.8,0.145,0.3,1.96,0.0435,1153.99135303357
0.85,0.8,0.145,0.3,1.96,0.0435,997.870706939939
0.9,0.8,0.145,0.3,1.96,0.0435,872.551914387633
0.95,0.8,0.145,0.3,1.96,0.0435,770.288142569839
1,0.8,0.145,0.3,1.96,0.0435,685.64109393579
0.8,0.85,0.145,0.3,1.96,0.0435,886.991879333406
0.85,0.85,0.145,0.3,1.96,0.0435,779.951042409829
0.9,0.85,0.145,0.3,1.96,0.0435,692.239165015193
0.95,0.85,0.145,0.3,1.96,0.0435,619.343168186021
1,0.85,0.145,0.3,1.96,0.0435,558.008723508428
0.8,0.9,0.145,0.3,1.96,0.0435,666.634091689787
0.85,0.9,0.145,0.3,1.96,0.0435,596.144181089532
0.9,0.9,0.145,0.3,1.96,0.0435,537.184494649227
0.95,0.9,0.145,0.3,1.96,0.0435,487.268690748687
1,0.9,0.145,0.3,1.96,0.0435,444.557727572995
0.8,0.95,0.145,0.3,1.96,0.0435,482.003190792854
0.85,0.95,0.145,0.3,1.96,0.0435,439.165073325406
0.9,0.95,0.145,0.3,1.96,0.0435,402.478999049574
0.95,0.95,0.145,0.3,1.96,0.0435,370.744548735991
1,0.95,0.145,0.3,1.96,0.0435,343.048941736028
0.8,1,0.145,0.3,1.96,0.0435,325.284904214559
0.85,1,0.145,0.3,1.96,0.0435,303.639648411088
0.9,1,0.145,0.3,1.96,0.0435,284.399421030226
0.95,1,0.145,0.3,1.96,0.0435,267.184480742085
1,1,0.145,0.3,1.96,0.0435,251.691034482759
0.8,0.8,0.15,0.3,1.96,0.045,1085.02803840878
0.85,0.8,0.15,0.3,1.96,0.045,938.412319380524
0.9,0.8,0.15,0.3,1.96,0.045,820.683456790123
0.95,0.8,0.15,0.3,1.96,0.045,724.581618655693
1,0.8,0.15,0.3,1.96,0.045,645.009382716049
0.8,0.85,0.15,0.3,1.96,0.045,836.26151216305
0.85,0.85,0.15,0.3,1.96,0.045,735.508148148147
0.9,0.85,0.15,0.3,1.96,0.045,652.91390946502
0.95,0.85,0.15,0.3,1.96,0.045,584.243333333333
