sensitivity,specificity,prevalence,tolerance_frac_prev,z,tolerance,min_n
1,0.9,0.02,0.1,1.96,0.002,123400.728888889
0.8,0.95,0.02,0.1,1.96,0.002,103765.884444444
0.85,0.95,0.02,0.1,1.96,0.002,92504.5274999999
0.9,0.95,0.02,0.1,1.96,0.002,83094.2067820068
0.95,0.95,0.02,0.1,1.96,0.002,75143.5930864197
1,0.95,0.02,0.1,1.96,0.002,68360.2610526315
0.8,1,0.02,0.1,1.96,0.002,23625.84
0.85,1,0.02,0.1,1.96,0.002,22213.4870588235
0.9,1,0.02,0.1,1.96,0.002,20958.0622222222
0.95,1,0.02,0.1,1.96,0.002,19834.787368421
1,1,0.02,0.1,1.96,0.002,18823.84
0.8,0.8,0.025,0.1,1.96,0.0025,288162.684444444
0.85,0.8,0.025,0.1,1.96,0.0025,246569.345325444
0.9,0.8,0.025,0.1,1.96,0.0025,213491.04
0.95,0.8,0.025,0.1,1.96,0.0025,186744.444444444
1,0.8,0.025,0.1,1.96,0.0025,164804.64
0.8,0.85,0.025,0.1,1.96,0.0025,201652.176094674
0.85,0.85,0.025,0.1,1.96,0.0025,174918.24
0.9,0.85,0.025,0.1,1.96,0.0025,153279.84
0.95,0.85,0.025,0.1,1.96,0.0025,135512.44
1,0.85,0.025,0.1,1.96,0.0025,120739.228235294
0.8,0.9,0.025,0.1,1.96,0.0025,130073.44
0.85,0.9,0.025,0.1,1.96,0.0025,114351.626666667
0.9,0.9,0.025,0.1,1.96,0.0025,101418.24
0.95,0.9,0.025,0.1,1.96,0.0025,90644.4794463667
1,0.9,0.025,0.1,1.96,0.0025,81569.9733333333
0.8,0.95,0.025,0.1,1.96,0.0025,69959.8044444444
0.85,0.95,0.025,0.1,1.96,0.0025,62522.0399999999
0.9,0.95,0.025,0.1,1.96,0.0025,56296.0559169549
0.95,0.95,0.025,0.1,1.96,0.0025,51026.8819753086
1,0.95,0.025,0.1,1.96,0.0025,46523.7978947368
0.8,1,0.025,0.1,1.96,0.0025,18823.84
0.85,1,0.025,0.1,1.96,0.0025,17693.9576470588
0.9,1,0.025,0.1,1.96,0.0025,16689.6177777778
0.95,1,0.025,0.1,1.96,0.0025,15790.9978947368
1,1,0.025,0.1,1.96,0.0025,14982.24
0.8,0.8,0.03,0.1,1.96,0.003,202129.815308642
0.85,0.8,0.03,0.1,1.96,0.003,173081.381091387
0.9,0.8,0.03,0.1,1.96,0.003,149969.617777778
0.95,0.8,0.03,0.1,1.96,0.003,131273.637530864
1,0.8,0.03,0.1,1.96,0.003,115930.951111111
0.8,0.85,0.03,0.1,1.96,0.003,142217.24433925
0.85,0.85,0.03,0.1,1.96,0.003,123487.84
0.9,0.85,0.03,0.1,1.96,0.003,108318.891851852
0.95,0.85,0.03,0.1,1.96,0.003,95855.9233333332
1,0.85,0.03,0.1,1.96,0.003,85486.8988235293
0.8,0.9,0.03,0.1,1.96,0.003,92650.5066666666
0.85,0.9,0.03,0.1,1.96,0.003,81569.9733333333
0.9,0.9,0.03,0.1,1.96,0.003,72446.1733333333
0.95,0.9,0.03,0.1,1.96,0.003,64838.8526874279
1,0.9,0.03,0.1,1.96,0.003,58425.5190123457
0.8,0.95,0.03,0.1,1.96,0.003,51026.8819753086
0.85,0.95,0.03,0.1,1.96,0.003,45701.701111111
0.9,0.95,0.03,0.1,1.96,0.003,41236.8657593233
0.95,0.95,0.03,0.1,1.96,0.003,37452.1747050754
1,0.95,0.03,0.1,1.96,0.003,34212.705497076
0.8,1,0.03,0.1,1.96,0.003,15622.5066666667
0.85,1,0.03,0.1,1.96,0.003,14680.9380392157
0.9,1,0.03,0.1,1.96,0.003,13843.9881481481
0.95,1,0.03,0.1,1.96,0.003,13095.138245614
1,1,0.03,0.1,1.96,0.003,12421.1733333333
0.8,0.8,0.035,0.1,1.96,0.0035,149969.617777778
0.85,0.8,0.035,0.1,1.96,0.0035,128507.295621302
0.9,0.8,0.035,0.1,1.96,0.0035,111423.84
0.95,0.8,0.035,0.1,1.96,0.0035,97598.4177777777
1,0.8,0.035,0.1,1.96,0.0035,86247.8399999999
0.8,0.85,0.035,0.1,1.96,0.0035,106072.83408284
0.85,0.85,0.035,0.1,1.96,0.0035,92191.8399999999
0.9,0.85,0.035,0.1,1.96,0.0035,80942.7733333333
0.95,0.85,0.035,0.1,1.96,0.0035,71694.8399999999
1,0.85,0.035,0.1,1.96,0.0035,63996.0752941176
0.8,0.9,0.035,0.1,1.96,0.0035,69759.8399999999
0.85,0.9,0.035,0.1,1.96,0.0035,61499.5733333333
0.9,0.9,0.035,0.1,1.96,0.0035,54691.84
0.95,0.9,0.035,0.1,1.96,0.0035,49010.5528027681
1,0.9,0.035,0.1,1.96,0.0035,44216.7288888889
0.8,0.95,0.035,0.1,1.96,0.0035,39268.8177777777
0.85,0.95,0.035,0.1,1.96,0.0035,35238.8399999999
0.9,0.95,0.035,0.1,1.96,0.0035,31854.7880968858
0.95,0.95,0.035,0.1,1.96,0.0035,28981.9634567901
1,0.95,0.035,0.1,1.96,0.0035,26519.4189473684
0.8,1,0.035,0.1,1.96,0.0035,13335.84
0.85,1,0.035,0.1,1.96,0.0035,12528.7811764706
0.9,1,0.035,0.1,1.96,0.0035,11811.3955555556
0.95,1,0.035,0.1,1.96,0.0035,11169.5242105263
1,1,0.035,0.1,1.96,0.0035,10591.84
0.8,0.8,0.04,0.1,1.96,0.004,115930.951111111
0.85,0.8,0.04,0.1,1.96,0.004,99406.514556213
0.9,0.8,0.04,0.1,1.96,0.004,86247.8399999999
0.95,0.8,0.04,0.1,1.96,0.004,75594.1511111111
1,0.8,0.04,0.1,1.96,0.004,66843.84
0.8,0.85,0.04,0.1,1.96,0.004,82414.8222485206
0.85,0.85,0.04,0.1,1.96,0.004,71694.8399999999
0.9,0.85,0.04,0.1,1.96,0.004,63002.24
0.95,0.85,0.04,0.1,1.96,0.004,55851.7618749999
1,0.85,0.04,0.1,1.96,0.004,49895.6047058823
0.8,0.9,0.04,0.1,1.96,0.004,54691.84
0.85,0.9,0.04,0.1,1.96,0.004,48276.1066666667
0.9,0.9,0.04,0.1,1.96,0.004,42983.9025
0.95,0.9,0.04,0.1,1.96,0.004,38563.5493425605
1,0.9,0.04,0.1,1.96,0.004,34830.5066666667
0.8,0.95,0.04,0.1,1.96,0.004,31415.7511111111
0.85,0.95,0.04,0.1,1.96,0.004,28240.261875
0.9,0.95,0.04,0.1,1.96,0.004,25569.902283737
0.95,0.95,0.04,0.1,1.96,0.004,23299.7782716049
1,0.95,0.04,0.1,1.96,0.004,21351.2084210526
0.8,1,0.04,0.1,1.96,0.004,11620.84
0.85,1,0.04,0.1,1.96,0.004,10914.6635294118
0.9,1,0.04,0.1,1.96,0.004,10286.9511111111
0.95,1,0.04,0.1,1.96,0.004,9725.31368421052
